Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,13594.900391,13720.580078,13582.759766,13705.589844,13705.589844,4439970000
2021-04-06,13681.669922,13776.709961,13674.280273,13698.379883,13698.379883,4038510000
2021-04-07,13675.299805,13733.030273,13653.589844,13688.839844,13688.839844,4078990000
2021-04-08,13796.889648,13830.139648,13758.709961,13829.309570,13829.309570,4133640000
2021-04-09,13787.019531,13905.410156,13748.349609,13900.190430,13900.190430,3906460000
2021-04-12,13854.440430,13877.000000,13783.950195,13850.000000,13850.000000,4230160000
2021-04-13,13902.450195,14011.509766,13902.450195,13996.099609,13996.099609,4200290000
2021-04-14,14004.080078,14033.629883,13839.040039,13857.839844,13857.839844,4102380000
2021-04-15,13983.230469,14049.129883,13970.419922,14038.759766,14038.759766,4382620000
2021-04-16,14059.110352,14062.500000,13977.049805,14052.339844,14052.339844,4414640000
2021-04-19,13984.580078,14041.790039,13842.570313,13914.769531,13914.769531,4349340000
2021-04-20,13894.459961,13927.669922,13698.669922,13786.269531,13786.269531,4229410000
2021-04-21,13745.769531,13951.349609,13706.860352,13950.219727,13950.219727,3967090000
2021-04-22,13952.570313,14015.870117,13771.040039,13818.410156,13818.410156,4397030000
2021-04-23,13861.370117,14062.740234,13856.830078,14016.809570,14016.809570,4332500000
2021-04-26,14052.379883,14154.030273,14019.500000,14138.780273,14138.780273,4479480000
2021-04-27,14170.910156,14171.240234,14064.280273,14090.219727,14090.219727,4665430000
2021-04-28,14082.780273,14133.650391,14034.700195,14051.030273,14051.030273,4532050000
2021-04-29,14204.509766,14211.570313,13952.799805,14082.549805,14082.549805,4854340000
2021-04-30,13970.730469,14084.759766,13941.629883,13962.679688,13962.679688,4762770000
2021-05-03,14031.769531,14042.120117,13881.509766,13895.120117,13895.120117,4718850000
2021-05-04,13774.509766,13795.570313,13485.589844,13633.500000,13633.500000,5852850000
2021-05-05,13731.129883,13753.049805,13553.929688,13582.419922,13582.419922,4517100000
2021-05-06,13557.830078,13635.730469,13439.389648,13632.839844,13632.839844,5000710000
2021-05-07,13723.089844,13828.620117,13690.750000,13752.240234,13752.240234,4376800000
2021-05-10,13687.589844,13687.929688,13401.740234,13401.860352,13401.860352,4795690000
2021-05-11,13115.849609,13423.309570,13107.669922,13389.429688,13389.429688,4719720000
2021-05-12,13215.490234,13288.610352,13002.540039,13031.679688,13031.679688,4730740000
2021-05-13,13150.940430,13247.870117,13007.240234,13124.990234,13124.990234,4681530000
2021-05-14,13255.650391,13460.879883,13242.969727,13429.980469,13429.980469,4008110000
2021-05-17,13368.799805,13399.169922,13265.400391,13379.049805,13379.049805,3980630000
2021-05-18,13416.900391,13485.339844,13299.929688,13303.639648,13303.639648,4283680000
2021-05-19,13078.190430,13304.610352,13072.230469,13299.740234,13299.740234,4314980000
2021-05-20,13356.629883,13563.519531,13355.709961,13535.740234,13535.740234,3972730000
2021-05-21,13616.190430,13616.580078,13463.259766,13470.990234,13470.990234,3704590000
2021-05-24,13557.209961,13708.849609,13551.009766,13661.169922,13661.169922,3490650000
2021-05-25,13721.540039,13751.139648,13631.799805,13657.169922,13657.169922,4084480000
2021-05-26,13693.940430,13750.160156,13679.589844,13738.000000,13738.000000,4231140000
2021-05-27,13742.589844,13776.519531,13701.629883,13736.280273,13736.280273,5057550000
2021-05-28,13792.049805,13820.870117,13747.610352,13748.740234,13748.740234,4435220000
2021-06-01,13829.059570,13836.169922,13678.769531,13736.480469,13736.480469,4155670000
2021-06-02,13743.240234,13775.889648,13689.740234,13756.330078,13756.330078,5059810000
2021-06-03,13655.750000,13684.129883,13548.929688,13614.509766,13614.509766,5367460000
2021-06-04,13697.250000,13826.820313,13692.009766,13814.490234,13814.490234,4341800000
2021-06-07,13802.820313,13889.110352,13784.889648,13881.719727,13881.719727,4602940000
2021-06-08,13946.320313,13981.719727,13831.980469,13924.910156,13924.910156,5894140000
2021-06-09,13980.230469,14003.500000,13906.450195,13911.750000,13911.750000,5607720000
2021-06-10,13933.879883,14031.190430,13904.400391,14020.330078,14020.330078,4889500000
2021-06-11,14030.849609,14069.419922,14006.589844,14069.419922,14069.419922,4140190000
2021-06-14,14083.469727,14175.450195,14056.669922,14174.139648,14174.139648,4394380000
2021-06-15,14166.639648,14171.019531,14052.160156,14072.860352,14072.860352,4517770000
2021-06-16,14085.549805,14129.690430,13903.730469,14039.679688,14039.679688,4632480000
2021-06-17,13999.129883,14196.209961,13998.929688,14161.349609,14161.349609,4526780000
2021-06-18,14096.929688,14129.219727,14009.040039,14030.379883,14030.379883,6105960000
2021-06-21,14047.419922,14150.780273,13960.040039,14141.480469,14141.480469,4523120000
2021-06-22,14138.290039,14269.769531,14121.000000,14253.269531,14253.269531,4405260000
2021-06-23,14263.379883,14317.660156,14246.299805,14271.730469,14271.730469,4394600000
2021-06-24,14357.269531,14414.459961,14333.700195,14369.709961,14369.709961,4297280000
2021-06-25,14400.809570,14409.080078,14337.650391,14360.389648,14360.389648,7436800000
2021-06-28,14417.809570,14505.190430,14417.200195,14500.509766,14500.509766,4235620000
2021-06-29,14509.190430,14535.969727,14471.379883,14528.330078,14528.330078,4842860000
2021-06-30,14509.849609,14526.809570,14478.059570,14503.950195,14503.950195,5264790000
2021-07-01,14493.690430,14533.549805,14439.400391,14522.379883,14522.379883,4371620000
2021-07-02,14582.980469,14649.110352,14555.339844,14639.330078,14639.330078,3731730000
2021-07-06,14661.549805,14687.000000,14529.799805,14663.639648,14663.639648,4464780000
2021-07-07,14753.410156,14755.330078,14580.790039,14665.059570,14665.059570,4582030000
2021-07-08,14409.200195,14610.059570,14371.589844,14559.780273,14559.780273,4550600000
2021-07-09,14578.429688,14710.200195,14552.259766,14701.919922,14701.919922,3809040000
2021-07-12,14743.860352,14761.080078,14672.629883,14733.240234,14733.240234,3864500000
2021-07-13,14715.129883,14803.679688,14660.190430,14677.650391,14677.650391,4553380000
2021-07-14,14780.900391,14790.549805,14632.950195,14644.950195,14644.950195,4461730000
2021-07-15,14635.780273,14650.370117,14451.799805,14543.129883,14543.129883,4493540000
2021-07-16,14597.509766,14623.019531,14413.320313,14427.240234,14427.240234,4048940000
2021-07-19,14235.980469,14313.599609,14178.660156,14274.980469,14274.980469,4507040000
2021-07-20,14330.459961,14555.750000,14271.230469,14498.879883,14498.879883,4618980000
2021-07-21,14508.750000,14633.139648,14498.650391,14631.950195,14631.950195,4075150000
2021-07-22,14652.719727,14694.190430,14617.870117,14684.599609,14684.599609,3574560000
2021-07-23,14753.059570,14846.059570,14698.769531,14836.990234,14836.990234,3959410000
2021-07-26,14821.030273,14863.650391,14790.490234,14840.709961,14840.709961,4409960000
2021-07-27,14807.950195,14811.080078,14503.759766,14660.580078,14660.580078,4300000000
2021-07-28,14715.660156,14798.879883,14645.629883,14762.580078,14762.580078,4235390000
2021-07-29,14771.169922,14833.740234,14761.379883,14778.259766,14778.259766,3904590000
2021-07-30,14615.849609,14728.780273,14615.849609,14672.679688,14672.679688,3628750000
2021-08-02,14758.599609,14770.410156,14665.669922,14681.070313,14681.070313,3738200000
2021-08-03,14713.990234,14762.599609,14584.089844,14761.290039,14761.290039,4117520000
2021-08-04,14747.209961,14812.370117,14734.120117,14780.530273,14780.530273,4319400000
2021-08-05,14794.080078,14896.469727,14776.030273,14895.120117,14895.120117,4087320000
2021-08-06,14864.219727,14890.179688,14788.589844,14835.759766,14835.759766,4159050000
2021-08-09,14855.759766,14883.809570,14802.690430,14860.179688,14860.179688,4095760000
2021-08-10,14887.750000,14894.610352,14754.480469,14788.089844,14788.089844,3978790000
2021-08-11,14834.379883,14842.500000,14692.410156,14765.139648,14765.139648,3980530000
2021-08-12,14751.360352,14824.309570,14698.940430,14816.259766,14816.259766,4020260000
2021-08-13,14825.070313,14850.610352,14797.219727,14822.900391,14822.900391,4038130000
2021-08-16,14771.530273,14794.679688,14610.019531,14793.759766,14793.759766,3953840000
2021-08-17,14670.559570,14716.950195,14550.879883,14656.179688,14656.179688,4151190000
2021-08-18,14636.240234,14697.250000,14516.299805,14525.910156,14525.910156,3814120000
2021-08-19,14423.160156,14610.759766,14423.160156,14541.790039,14541.790039,4172870000
2021-08-20,14571.530273,14722.160156,14571.530273,14714.660156,14714.660156,3864780000
2021-08-23,14776.980469,14963.469727,14776.980469,14942.650391,14942.650391,3893990000
2021-08-24,14978.139648,15034.889648,14965.540039,15019.799805,15019.799805,3792870000
2021-08-25,15039.030273,15059.429688,15011.580078,15041.860352,15041.860352,3629990000
2021-08-26,15025.169922,15059.629883,14939.559570,14945.809570,14945.809570,3610970000
2021-08-27,14969.769531,15144.480469,14966.519531,15129.500000,15129.500000,4006310000
2021-08-30,15165.940430,15288.080078,15165.120117,15265.889648,15265.889648,4034110000
2021-08-31,15262.879883,15278.959961,15202.669922,15259.240234,15259.240234,4170170000
2021-09-01,15308.980469,15379.500000,15302.110352,15309.379883,15309.379883,4248030000
2021-09-02,15358.469727,15380.070313,15285.349609,15331.179688,15331.179688,4018120000
2021-09-03,15313.410156,15375.559570,15283.669922,15363.519531,15363.519531,3692170000
2021-09-07,15375.980469,15403.440430,15343.280273,15374.330078,15374.330078,3967040000
2021-09-08,15360.349609,15360.349609,15206.610352,15286.639648,15286.639648,4113530000
2021-09-09,15296.059570,15352.379883,15245.169922,15248.250000,15248.250000,3997250000
2021-09-10,15332.919922,15349.469727,15111.309570,15115.490234,15115.490234,4567980000
2021-09-13,15211.429688,15215.440430,15030.849609,15105.580078,15105.580078,4701190000
2021-09-14,15168.450195,15181.190430,15008.299805,15037.759766,15037.759766,4571950000
2021-09-15,15071.339844,15174.379883,14984.679688,15161.530273,15161.530273,4446270000
2021-09-16,15120.089844,15205.500000,15047.139648,15181.919922,15181.919922,3681700000
2021-09-17,15163.360352,15166.559570,14998.730469,15043.969727,15043.969727,6682650000
2021-09-20,14758.139648,14841.820313,14530.070313,14713.900391,14713.900391,4860630000
2021-09-21,14803.360352,14847.030273,14696.469727,14746.400391,14746.400391,4056340000
2021-09-22,14800.589844,14950.120117,14767.009766,14896.849609,14896.849609,4229870000
2021-09-23,14960.000000,15085.440430,14932.509766,15052.240234,15052.240234,4176520000
2021-09-24,14961.610352,15067.559570,14946.570313,15047.700195,15047.700195,3972140000
2021-09-27,14954.179688,15003.160156,14864.959961,14969.969727,14969.969727,4619450000
2021-09-28,14787.209961,14817.740234,14539.879883,14546.679688,14546.679688,4954270000
2021-09-29,14614.879883,14676.620117,14493.669922,14512.440430,14512.440430,5246170000
2021-09-30,14582.599609,14632.360352,14444.299805,14448.580078,14448.580078,5910550000
2021-10-01,14494.929688,14606.820313,14324.009766,14566.700195,14566.700195,4688550000
2021-10-04,14493.120117,14499.740234,14181.690430,14255.480469,14255.480469,4539650000
2021-10-05,14312.860352,14508.650391,14299.780273,14433.830078,14433.830078,4143190000
2021-10-06,14289.450195,14509.549805,14259.070313,14501.910156,14501.910156,4443760000
