Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,30.799999,32.020000,30.770000,32.020000,31.813099,3482268
2021-03-23,32.150002,32.500000,31.350000,31.370001,31.167299,3709513
2021-03-24,31.480000,31.950001,31.100000,31.250000,31.048073,2165788
2021-03-25,31.139999,31.490000,30.790001,31.459999,31.256714,2422468
2021-03-26,31.790001,32.360001,31.600000,32.270000,32.061478,2917862
2021-03-29,32.470001,32.619999,31.780001,31.900000,31.693872,2082940
2021-03-30,32.110001,32.150002,31.610001,31.930000,31.723680,1980846
2021-03-31,31.889999,32.650002,31.889999,32.520000,32.309864,2189939
2021-04-01,32.924999,33.294998,32.669998,33.084999,32.871212,2420177
2021-04-06,33.665001,33.720001,33.009998,33.150002,32.935795,2186490
2021-04-07,32.990002,33.259998,32.709999,33.200001,32.985474,1896325
2021-04-08,33.480000,33.535000,33.084999,33.115002,32.901020,2427918
2021-04-09,33.110001,33.305000,32.820000,33.279999,33.064953,1934872
2021-04-12,33.340000,33.459999,32.389999,32.520000,32.309864,2120306
2021-04-13,32.529999,33.240002,32.525002,32.845001,32.632767,2243418
2021-04-14,32.915001,33.250000,32.775002,32.799999,32.588055,1944840
2021-04-15,32.785000,33.105000,32.465000,32.590000,32.379410,1592173
2021-04-16,32.599998,32.705002,32.130001,32.669998,32.458897,2020107
2021-04-19,32.685001,32.805000,31.865000,31.905001,31.698841,2114798
2021-04-20,31.764999,32.070000,30.600000,30.690001,30.491693,3577886
2021-04-21,30.924999,31.230000,30.705000,31.045000,30.844395,2039842
2021-04-22,31.440001,32.150002,31.275000,31.709999,31.505098,2631132
2021-04-23,31.495001,32.290001,31.430000,32.200001,31.991932,1657529
2021-04-26,32.255001,32.674999,31.860001,32.615002,32.404251,1738813
2021-04-27,32.695000,33.150002,32.500000,32.750000,32.538383,2741225
2021-04-28,32.665001,32.799999,31.840000,32.000000,31.793226,2673703
2021-04-29,32.290001,33.625000,30.620001,32.520000,32.309864,10026923
2021-04-30,32.400002,32.549999,31.075001,31.145000,30.943752,7668662
2021-05-03,31.309999,31.740000,30.590000,30.700001,30.501629,4500042
2021-05-04,30.799999,30.985001,29.955000,30.049999,29.855825,5950595
2021-05-05,30.405001,30.885000,30.190001,30.790001,30.591047,3526620
2021-05-06,30.610001,30.670000,29.780001,30.105000,29.910473,3972358
2021-05-07,30.525000,31.004999,30.075001,30.945000,30.745045,4933832
2021-05-10,30.889999,30.910000,29.959999,30.139999,29.945244,3526138
2021-05-11,29.500000,29.695000,28.795000,29.125000,28.936802,8720643
2021-05-12,29.200001,29.370001,28.465000,28.530001,28.345650,4397548
2021-05-13,28.360001,29.350000,28.250000,28.915001,28.728161,4018079
2021-05-14,29.150000,29.360001,28.629999,29.190001,29.001385,2839066
2021-05-17,29.250000,29.440001,28.830000,29.035000,28.847387,2538973
2021-05-18,29.299999,29.450001,28.990000,29.195000,29.006351,3073199
2021-05-19,28.920000,29.250000,28.344999,29.184999,28.996416,4119178
2021-05-20,29.280001,29.600000,28.870001,29.600000,29.408735,2865596
2021-05-21,29.799999,29.889999,29.520000,29.680000,29.488218,3141850
2021-05-24,29.719999,30.035000,29.594999,29.934999,29.741571,1709646
2021-05-25,30.139999,30.584999,30.055000,30.070000,29.875696,2652005
2021-05-26,30.264999,30.334999,29.860001,30.025000,29.830990,1417087
2021-05-27,30.065001,30.344999,29.930000,30.250000,30.054537,2059741
2021-05-28,30.270000,30.629999,30.139999,30.629999,30.432077,1844440
2021-05-31,30.629999,30.799999,30.545000,30.650000,30.451950,952054
2021-06-01,30.750000,31.225000,30.434999,30.525000,30.327759,2903090
2021-06-02,30.450001,30.645000,30.110001,30.520000,30.322792,1989935
2021-06-03,30.450001,30.455000,29.959999,30.115000,29.920406,2640229
2021-06-04,30.014999,30.580000,29.955000,30.570000,30.372465,2251470
2021-06-07,30.520000,30.629999,30.125000,30.150000,29.955179,3045458
2021-06-08,30.120001,30.555000,30.110001,30.184999,29.989956,2277351
2021-06-09,30.225000,30.584999,30.135000,30.559999,30.362532,1894906
2021-06-10,30.620001,31.309999,30.620001,31.090000,30.889107,4385379
2021-06-11,31.240000,31.540001,31.049999,31.410000,31.207039,2546942
2021-06-14,31.610001,31.920000,31.285000,31.590000,31.385876,2154991
2021-06-15,31.875000,31.875000,31.549999,31.549999,31.346132,1545368
2021-06-16,31.465000,31.719999,31.389999,31.490000,31.286520,1401069
2021-06-17,31.275000,31.870001,31.165001,31.865000,31.659098,2725360
2021-06-18,31.799999,31.969999,30.445000,30.445000,30.248274,5011483
2021-06-21,30.170000,30.500000,29.825001,30.180000,30.044197,2301445
2021-06-22,30.219999,30.645000,30.040001,30.540001,30.402578,1758448
2021-06-23,30.754999,30.785000,30.110001,30.180000,30.044197,1285917
2021-06-24,30.184999,30.900000,30.090000,30.770000,30.631542,1573056
2021-06-25,30.750000,30.889999,30.655001,30.799999,30.661406,1190955
2021-06-28,30.715000,31.045000,30.480000,30.945000,30.805756,2252863
2021-06-29,30.940001,31.375000,30.875000,31.174999,31.034719,2309189
2021-06-30,31.209999,31.525000,30.600000,30.605000,30.467283,2951848
2021-07-01,30.865000,31.490000,30.635000,30.750000,30.611631,4355151
2021-07-02,30.754999,31.480000,30.700001,31.430000,31.288574,2776332
2021-07-05,31.420000,31.840000,31.299999,31.745001,31.602156,1802799
2021-07-06,31.745001,32.049999,31.485001,31.625000,31.482693,2574059
2021-07-07,31.735001,32.240002,31.584999,31.870001,31.726593,2874779
2021-07-08,31.655001,31.750000,30.285000,30.980000,30.840595,3723569
2021-07-09,31.065001,32.139999,31.065001,32.139999,31.995377,3873521
2021-07-12,32.150002,32.740002,32.055000,32.395000,32.249233,2413419
2021-07-13,32.470001,32.535000,32.139999,32.424999,32.279095,1898272
2021-07-14,32.759998,33.555000,32.685001,33.230000,33.080475,6132911
2021-07-15,33.070000,33.259998,32.259998,32.520000,32.373669,2788985
2021-07-16,32.365002,32.715000,32.099998,32.169998,32.025242,2607148
2021-07-19,31.980000,31.980000,30.815001,31.340000,31.198977,3047154
2021-07-20,31.540001,31.674999,30.834999,31.094999,30.955078,2558203
2021-07-21,31.375000,32.384998,31.355000,32.330002,32.184525,2814226
2021-07-22,32.549999,32.919998,32.174999,32.320000,32.174564,2930084
2021-07-23,32.330002,33.230000,32.330002,33.230000,33.080475,3304657
2021-07-26,32.910000,33.695000,32.910000,33.334999,33.184998,3088971
2021-07-27,33.450001,33.580002,32.505001,32.520000,32.373669,3417387
2021-07-28,32.619999,33.259998,32.599998,33.195000,33.045631,3458030
2021-07-29,34.150002,35.369999,33.950001,35.040001,34.882328,8156430
2021-07-30,34.849998,35.060001,34.259998,34.525002,34.369648,3567881
2021-08-02,35.000000,35.314999,34.855000,35.064999,34.907215,2730512
2021-08-03,35.000000,35.330002,34.669998,35.110001,34.952011,3035359
2021-08-04,35.389999,35.590000,34.924999,35.509998,35.350212,3010096
2021-08-05,35.584999,35.884998,35.455002,35.779999,35.618996,3010437
2021-08-06,35.764999,36.029999,35.630001,35.950001,35.788231,3351117
2021-08-09,35.935001,36.610001,35.935001,36.505001,36.340736,2541618
2021-08-10,36.595001,36.860001,36.090000,36.380001,36.216301,2841588
2021-08-11,36.529999,36.680000,36.090000,36.230000,36.066975,2757961
2021-08-12,36.279999,36.619999,36.244999,36.599998,36.435307,2659109
2021-08-13,36.400002,36.599998,36.235001,36.490002,36.325806,2702962
2021-08-16,36.349998,36.775002,36.330002,36.520000,36.355667,2364728
2021-08-17,36.345001,36.634998,35.790001,36.095001,35.932583,2690812
2021-08-18,36.270000,36.564999,36.005001,36.480000,36.315845,2529303
2021-08-19,35.790001,35.915001,35.014999,35.840000,35.678730,4222526
2021-08-20,35.810001,36.435001,35.459999,36.384998,36.221275,2546306
2021-08-23,36.740002,36.750000,36.334999,36.485001,36.320824,1788278
2021-08-24,36.720001,36.820000,36.505001,36.634998,36.470150,1486150
2021-08-25,36.634998,36.959999,36.529999,36.790001,36.624454,1551016
2021-08-26,36.514999,36.770000,36.220001,36.514999,36.350689,1917496
2021-08-27,36.669998,37.294998,36.615002,37.294998,37.127178,2418331
2021-08-30,37.404999,38.035000,37.365002,37.880001,37.709553,1849922
2021-08-31,38.264999,38.564999,37.355000,37.680000,37.510448,3445518
